time: 1458750877 line: 144, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42S22]: Column not found: 1054 Champ 'reader_id' inconnu dans where clause
time: 1458763354 line: 92, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42S22]: Column not found: 1054 Champ 'users.user_id' inconnu dans field list
time: 1458763401 line: 92, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42S22]: Column not found: 1054 Champ 'users.user_id' inconnu dans field list
time: 1458938849 line: 92, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'accepted = '0'' à la ligne 1
time: 1458938861 line: 92, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'accepted = '0'' à la ligne 1
time: 1458938863 line: 92, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'accepted = '0'' à la ligne 1
time: 1458940076 line: 252, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens
time: 1458940142 line: 252, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens
time: 1459453885 line: 208, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[23000]: Integrity constraint violation: 1048 Le champ 'path' ne peut être vide (null)
time: 1459454110 line: 208, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[23000]: Integrity constraint violation: 1048 Le champ 'path' ne peut être vide (null)
time: 1459454187 line: 208, in file C:\wamp\www\house_of_faces\api\Library\Database\DB.php, with message: SQLSTATE[23000]: Integrity constraint violation: 1048 Le champ 'path' ne peut être vide (null)
