SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
SQLSTATE[42000]: Syntax error or access violation: 1064 Erreur de syntaxe près de 'WHERE id = '43'' à la ligne 1
time: 1458940456 line: 48, in file C:\wamp\www\house_of_faces\api\routes\interact\request.php, with message: error while updating the request table.
time: 1459014547 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "templates/includes/parts/statusUpdate" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014551 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "templates/includes/parts/statusUpdate" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014570 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "templates/includes/parts/statusUpdate" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014580 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "templates/includes/parts/statusUpdate" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014666 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "fdsf" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014878 line: 256, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Looks like you try to load a template outside configured directories (../parts/updateStatus.twig) in "home/home_member.twig" at line 46.
time: 1459014885 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "parts/updateStatus.twig" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014896 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "parts/updateStatus.twig" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459014907 line: 215, in file C:\wamp\www\house_of_faces\vendor\twig\twig\lib\Twig\Loader\Filesystem.php, with message: Unable to find template "header.html" (looked into: C:\wamp\www\house_of_faces/api/views) in "home/home_member.twig" at line 46.
time: 1459453781 line: 14, in file C:\wamp\www\house_of_faces\api\functions\saveImage.php, with message: error with the image upload.
time: 1459453834 line: 14, in file C:\wamp\www\house_of_faces\api\functions\saveImage.php, with message: error with the image upload.
time: 1459526772 line: 66, in file C:\wamp\www\house_of_faces\api\routes\profile\addImage.php, with message: no picture with the upload.
time: 1459545020 line: 71, in file C:\wamp\www\house_of_faces\api\routes\profile\addImage.php, with message: no picture with the upload.
time: 1461944545 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944545) at position 8 (4): Unexpected character
time: 1461944551 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944551) at position 8 (5): Unexpected character
time: 1461944574 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944574) at position 8 (7): Unexpected character
time: 1461944581 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944581) at position 8 (8): Unexpected character
time: 1461944583 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944583) at position 8 (8): Unexpected character
time: 1461944591 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944591) at position 8 (9): Unexpected character
time: 1461944604 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944604) at position 8 (0): Unexpected character
time: 1461944626 line: 9, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944626) at position 8 (2): Unexpected character
time: 1461944640 line: 8, in file C:\wamp\www\house_of_faces\api\functions\date_difference.php, with message: DateTime::__construct(): Failed to parse time string (1461944640) at position 8 (4): Unexpected character
